SamplePointID,t551_CreatedByWhom,year,BioRegion,Tenure,CrownDamage,t500_VicGridXGIS,t500_VicGridYGIS
PE2138N2814,andrewclark,2017,RIVERINA,PARK/RESERVE,5.0,2138000.0,2814000.0
PE2140N2540,andrewclark,2016,MURRAY DARLING DEPRESSION,PARK/RESERVE,28.333333333333332,2140000.0,2540000.0
PE2140N2710,andrewclark,2019,MURRAY DARLING DEPRESSION,STATE FOREST,11.25,2140000.0,2710000.0
PE2140N2760,andrewclark,2017,MURRAY DARLING DEPRESSION,PARK/RESERVE,7.5,2140000.0,2760000.0
PE2144N2808,andrewclark,2017,RIVERINA,PARK/RESERVE,16.666666666666668,2144000.0,2808000.0
PE2144N2812,andrewclark,2018,RIVERINA,PARK/RESERVE,15.0,2144000.0,2812000.0
PE2148N2392,andrewclark,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,15.625,2148000.0,2392000.0
PE2148N2440,andrewclark,2017,NARACOORTE COASTAL PLAIN,PARK/RESERVE,16.666666666666668,2148000.0,2440000.0
PE2148N2464,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,23.125,2148000.0,2464000.0
PE2150N2814,andrewclark,2017,RIVERINA,PARK/RESERVE,5.0,2150000.0,2814000.0
PE2152N2380,charleschikono,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,17.22222222222222,2152000.0,2380000.0
PE2152N2400,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,20.0,2152000.0,2400000.0
PE2152N2436,andrewclark,2019,NARACOORTE COASTAL PLAIN,STATE FOREST,19.375,2152000.0,2436000.0
PE2152N2444,andrewclark,2016,NARACOORTE COASTAL PLAIN,PARK/RESERVE,13.333333333333334,2152000.0,2444000.0
PE2156N2380,charleschikono,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,18.0,2156000.0,2380000.0
PE2156N2440,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,15.0,2156000.0,2440000.0
PE2156N2444,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,22.5,2156000.0,2444000.0
PE2156N2448,andrewclark,2019,NARACOORTE COASTAL PLAIN,STATE FOREST,26.25,2156000.0,2448000.0
PE2160N2376,andrewclark,2019,NARACOORTE COASTAL PLAIN,PARK/RESERVE,18.75,2160000.0,2376000.0
PE2160N2432,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,35.0,2160000.0,2432000.0
PE2160N2444,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,16.875,2160000.0,2444000.0
PE2160N2452,andrewclark,2019,NARACOORTE COASTAL PLAIN,STATE FOREST,22.5,2160000.0,2452000.0
PE2160N2468,andrewclark,2017,NARACOORTE COASTAL PLAIN,PARK/RESERVE,18.125,2160000.0,2468000.0
PE2164N2376,andrewclark,2019,NARACOORTE COASTAL PLAIN,PARK/RESERVE,11.875,2164000.0,2376000.0
PE2164N2424,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,35.625,2164000.0,2424000.0
PE2164N2428,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,25.0,2164000.0,2428000.0
PE2164N2432,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,11.11111111111111,2164000.0,2432000.0
PE2164N2440,andrewclark,2019,NARACOORTE COASTAL PLAIN,STATE FOREST,53.75,2164000.0,2440000.0
PE2164N2448,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,10.0,2164000.0,2448000.0
PE2168N2412,charleschikono,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,22.22222222222222,2168000.0,2412000.0
PE2168N2424,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,23.75,2168000.0,2424000.0
PE2168N2428,andrewclark,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,27.5,2168000.0,2428000.0
PE2168N2432,andrewclark,2019,NARACOORTE COASTAL PLAIN,PARK/RESERVE,15.0,2168000.0,2432000.0
PE2168N2468,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,16.666666666666668,2168000.0,2468000.0
PE2168N2812,andrewclark,2018,RIVERINA,PARK/RESERVE,10.625,2168000.0,2812000.0
PE2170N2520,andrewclark,2019,MURRAY DARLING DEPRESSION,STATE FOREST,13.571428571428571,2170000.0,2520000.0
PE2170N2700,andrewclark,2019,MURRAY DARLING DEPRESSION,STATE FOREST,10.0,2170000.0,2700000.0
PE2172N2380,andrewclark,2017,NARACOORTE COASTAL PLAIN,PARK/RESERVE,9.375,2172000.0,2380000.0
PE2172N2420,charleschikono,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,12.5,2172000.0,2420000.0
PE2172N2424,andrewclark,2019,NARACOORTE COASTAL PLAIN,STATE FOREST,16.25,2172000.0,2424000.0
PE2172N2452,andrewclark,2019,NARACOORTE COASTAL PLAIN,PARK/RESERVE,21.0,2172000.0,2452000.0
PE2176N2360,andrewclark,2017,NARACOORTE COASTAL PLAIN,PARK/RESERVE,7.777777777777778,2176000.0,2360000.0
PE2176N2368,charleschikono,2018,NARACOORTE COASTAL PLAIN,PARK/RESERVE,15.0,2176000.0,2368000.0
PE2176N2372,andrewclark,2019,NARACOORTE COASTAL PLAIN,PARK/RESERVE,13.0,2176000.0,2372000.0
PE2176N2416,andrewclark,2016,NARACOORTE COASTAL PLAIN,STATE FOREST,24.375,2176000.0,2416000.0
PE2176N2452,andrewclark,2017,NARACOORTE COASTAL PLAIN,STATE FOREST,19.375,2176000.0,2452000.0
PE2176N2456,charleschikono,2018,NARACOORTE COASTAL PLAIN,STATE FOREST,31.5,2176000.0,2456000.0
